[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Pickup_Tank_Cylinder.009
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X 4.430000 Y 1.804400 Z 6.542900
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Sign_Corner_3_Fenced_Plane.001
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -1.359300 Y -1.001400 Z 5.665100
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Rail_Corner_2_Cube.002
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -4.276400 Y 2.933300 Z 5.769000
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Lever_Base_Cube.004
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -6.387900 Y 2.934300 Z 7.475800
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Sign_Corner_Small1_Plane.001
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -5.349800 Y 3.590800 Z 6.769700
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Sign_Corner_Small1_Plane.002
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -6.196300 Y 4.050600 Z 6.497700
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Collectible_Board_Cube.002
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X 0.526600 Y 0.438400 Z 6.479200
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Platform_4x4_Empty_Cube.001
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -5.977300 Y 2.406600 Z 14.034900
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Support_Long_Plane.001
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -5.990300 Y 2.998900 Z 15.990000
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Support_Long_Plane.002
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -4.205800 Y 2.983900 Z 14.062700
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Support_Long_Plane.003
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -7.754500 Y 2.983900 Z 14.062700
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Lootbox_Base_Cube.003
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -6.017000 Y -11.579700 Z 14.104900
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Sign_Corner_3_Fenced_Plane.002
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -4.801200 Y 0.741800 Z 13.039600
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: Sign_Corner_3_Fenced_Plane.003
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -4.852500 Y -0.336500 Z 13.033700
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Model Detected: TV_1_Cylinder.003
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	Location: X -7.649400 Y 0.478400 Z 13.553800
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[MESSAGE]	Game Level File Reading Complete.
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	H2B Imported: Collectible_Board_Cube.h2b
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	H2B Imported: Collectible_Gear_Gear.h2b
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	H2B Imported: Lever_Base_Cube.h2b
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	H2B Imported: Lootbox_Base_Cube.h2b
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	H2B Imported: Lootbox_Top_Cube.h2b
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	H2B Imported: Pickup_Health_Cube.h2b
[Wed Sep 13 23:26:54 2023] ThreadID[35972]	[INFO]	H2B Imported: Pickup_Tank_Cylinder.h2b
